"Street","Description","Barangay","City","Province","Classification","Zonal Value"
"PROV. GOVERNMENT SUBD.","","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","8,500.00"
"DON EMILIO OSMENA HW","BOUNDARY MALUBOG/GRAJE","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","4,700.00"
"DON EMILIO OSMENA HW","GRAJE-EGGLING'S RES","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","6,000.00"
"DON EMILIO OSMENA HW","EGGLING'S-LAHUG","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","6,000.00"
"STO. NINO PBN VILLAGE","(PLAZA HOUSING)","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","6,000.00"
"ALL SOCIALIZED HOUSING SUBDIVISIONS","","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","4,100.00"
"ALL OTHER SUBDIVISIONS","","BUSAY","CEBU","CEBU","OTHER AGRICULTURAL LANDS","138,800.00"
"ALL OTHER SUBDIVISIONS","","BUSAY","CEBU","CEBU","RESIDENTIAL REGULAR","8,500.00"
"CITY LIGHTS","NIVEL HILLS","BUSAY","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","127,500.00"
"CITY LIGHTS","NIVEL HILLS","BUSAY","CEBU","CEBU","PARKING SLOT","78,000.00"
"LA NIVEA CONDOMINIUM @ NIVEL HILLS","HOLY FAMILY ROAD","BUSAY","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","120,000.00"
"LA NIVEA CONDOMINIUM @ NIVEL HILLS","HOLY FAMILY ROAD","BUSAY","CEBU","CEBU","PARKING SLOT","77,500.00"
"RUMAH HIGHLANDS CONDO","","BUSAY","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","120,000.00"
"RUMAH HIGHLANDS CONDO","","BUSAY","CEBU","CEBU","PARKING SLOT","77,500.00"
"LE MENDA RESIDENCES","","BUSAY","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","121,000.00"
"LE MENDA RESIDENCES","","BUSAY","CEBU","CEBU","PARKING SLOT","75,000.00"
"ALL OTHER CONDOMINIUMS","","BUSAY","CEBU","CEBU","COMMERCIAL CONDOMINIUM","138,800.00"
"ALL OTHER CONDOMINIUMS","","BUSAY","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","118,500.00"
"ALL OTHER CONDOMINIUMS","","BUSAY","CEBU","CEBU","PARKING SLOT","75,300.00"
"ALL AREAS","ALONG THE ROAD","CAMBINOCOT","CEBU","CEBU","RESIDENTIAL REGULAR","1,085.00"
"ALL AREAS","INTERIOR LOT","CAMBINOCOT","CEBU","CEBU","RESIDENTIAL REGULAR","690.00"
"ALL AREAS","ALL COMMERCIAL LOTS","CAMBINOCOT","CEBU","CEBU","COMMERCIAL REGULAR","1,221.00"
"ALL AREAS","ALONG THE ROAD","CAMBINOCOT","CEBU","CEBU","OTHER AGRICULTURAL LANDS","655.00"
"ALL AREAS","INTERIOR LOT","CAMBINOCOT","CEBU","CEBU","RESIDENTIAL REGULAR","105,000.00"
"ALL AREAS","INTERIOR LOT","CAMBINOCOT","CEBU","CEBU","OTHER AGRICULTURAL LANDS","390.00"
"ALL AREAS","WATERSHED","CAMBINOCOT","CEBU","CEBU","OTHER AGRICULTURAL LANDS","190.00"
"CAPITOL CEBU CY ZOO","VILLALON RES-CCG","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","42,000.00"
"CAPITOL CEBU CY ZOO","ESCARIO-VILLALON RES","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","42,000.00"
"CLAVANO ST","ESCARIO ST-MONTALBAN SUBD","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","43,000.00"
"CLAVANO ST","JUNC RD-CEBU CITY Z00 (JUNC RD)","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","43,500.00"
"DON GIL GARCIA EXT","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","81,000.00"
"DON GIL GARCIA ST. EXT. 1& 2 (BACK OF CAPITOL)","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","71,000.00"
"DON J AVILA ST","OSMENA BLVD-KAMPUTHAW BDRY","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","81,000.00"
"EAST CAPITOL SITE","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","81,000.00"
"F. RAMOS EXT","MA CRISTINA ST","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","81,000.00"
"GEN MAXILOM ST","OSMENA BLVD-KAMPUTHAW BDRY","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","105,000.00"
"JUANA OSMENA ST","MAXILOM-ABOITIZ","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","69,500.00"
"JUANA OSMENA ST","ABOITIZ-N ESCARIO","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","69,500.00"
"JUANA OSMENA ST","ESCARIO-JUNCTION ROAD","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","49,000.00"
"JUANA OSMENA ST","JUNCTION-CCGC","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","49,000.00"
"J LLORENTE ST","OSMENA BLVD-J OSMENA","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","209,800.00"
"J LLORENTE ST","OSMENA BLVD-J OSMENA","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"M VELEZ EXT (MVELEZ ST)","GUAD RVR-DON G GARCIA","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"MA CRISTINA ST (MP YAP)","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"MA CRISTINA EXT","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"MANUEL ZOSA ST (GOV ROSAS)","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"N ESCARIO ST.","J OSMENA-G GARCIA","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"N RAFOLS ST","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","73,000.00"
"PRES OSMENA BLVD","OSMENA-RTDA ESCARIO","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","105,000.00"
"ALL OTHER STREETS","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","51,500.00"
"ALL OTHER STREETS","","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","38,000.00"
"CAPITOL RESIDENCES","","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL REGULAR","48,500.00"
"BE RESIDENCES UPTOWN","JUANA OSMENA ST.","CAPITOL SITE","CEBU","CEBU","COMMERCIAL CONDOMINIUM","209,800.00"
"BE RESIDENCES UPTOWN","JUANA OSMENA ST.","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","176,500.00"
"BE RESIDENCES UPTOWN","JUANA OSMENA ST.","CAPITOL SITE","CEBU","CEBU","PARKING SLOT","94,000.00"
"ALL OTHER CONDOMINIUMS","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL CONDOMINIUM","91,000.00"
"(SMALL AND MEDIUM, 7 STOREYS AND BELOW)","","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","74,000.00"
"(SMALL AND MEDIUM, 7 STOREYS AND BELOW)","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL REGULAR","131,500.00"
"(SMALL AND MEDIUM, 7 STOREYS AND BELOW)","","CAPITOL SITE","CEBU","CEBU","PARKING SLOT","37,000.00"
"ALL OTHER CONDOMINIUMS","","CAPITOL SITE","CEBU","CEBU","COMMERCIAL CONDOMINIUM","131,500.00"
"(8 STOREYS AND ABOVE)","","CAPITOL SITE","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","112,500.00"
"(8 STOREYS AND ABOVE)","","CAPITOL SITE","CEBU","CEBU","PARKING SLOT","75,500.00"
"3RD AVENUE","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"ANDRES SORIANO JR. AVE.","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"BERNARDO BENEDICTO  ST.","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"DON CUENCO  MARIO J, AVENUE","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"EAST  ROAD","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"GENERAL MAXILOM AVENUE","B-CATH CEM-MJ CUENCO","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","105,000.00"
"GENERAL MAXILOM AVENUE","MJ CUENCO - P CANAL","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","105,000.00"
"JAYME C. DE VEYRA ST","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"JOSE L. BRIONES ST.","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"MC ARTHUR BLVD.","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"MJ CUENCO AVENUE","MAXILOM - C CREEK","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","100,500.00"
"NEW IMUS ROAD","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"NORTH 6TH ROAD","","CARRETA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","157,300.00"
"NORTH 6TH ROAD","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"SERGING OSMENA BLVD.","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"SITIO CROSSING ROAD","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"SITIO IPIL-IPIL ROAD","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"WEST STREET","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","99,500.00"
"ALL OTHER STREETS","","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","75,000.00"
"ALL OTHER STREETS","","CARRETA","CEBU","CEBU","RESIDENTIAL REGULAR","57,500.00"
"ALL OTHER STREETS","INTERIORS STREETS","CARRETA","CEBU","CEBU","RESIDENTIAL REGULAR","47,000.00"
"PARTHENON RESIDENCES","J. DE VEYRA STREET","CARRETA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","149,500.00"
"PARTHENON RESIDENCES","J. DE VEYRA STREET","CARRETA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","132,500.00"
"PARTHENON RESIDENCES","J. DE VEYRA STREET","CARRETA","CEBU","CEBU","PARKING SLOT","80,850.00"
"SAN MARINO RESIDENCES","J. DE VEYRA  STREET","CARRETA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","139,700.00"
"SAN MARINO RESIDENCES","J. DE VEYRA  STREET","CARRETA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","121,500.00"
"SAN MARINO RESIDENCES","J. DE VEYRA  STREET","CARRETA","CEBU","CEBU","PARKING SLOT","70,000.00"
"SUNVIDA TOWER","JUAN LUNA AVE. EXTENSION","CARRETA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","157,300.00"
"SUNVIDA TOWER","JUAN LUNA AVE. EXTENSION","CARRETA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","135,000.00"
"SUNVIDA TOWER","JUAN LUNA AVE. EXTENSION","CARRETA","CEBU","CEBU","COMMERCIAL REGULAR","132,000.00"
"SUNVIDA TOWER","JUAN LUNA AVE. EXTENSION","CARRETA","CEBU","CEBU","PARKING SLOT","82,500.00"
"ALL OTHER CONDOMINIUMS","","CARRETA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","132,000.00"
"ALL OTHER CONDOMINIUMS","","CARRETA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","117,500.00"
"ALL OTHER CONDOMINIUMS","","CARRETA","CEBU","CEBU","PARKING SLOT","66,000.00"
"1ST ST (3RD AVE EXT)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"2ND ST (6TH AVE EXT)","MJ CUENCO - P CANAL","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"3RD ST EAST (ROAD WEST 1)","MAXILOM - C CREEK","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"3RD ST WEST (ROAD EAST 1)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"4TH ST (ROAD 5)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"5TH ST EAST (AD EAST 3)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"5TH ST WEST (AD WEST 3)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"6TH ST (3RD AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"BARANGAY ST (1ST ST)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CABAHUG ST (2ND ST)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","T. PADILLA ST","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","7TH ST (13TH ST)","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","S OSMENA JR. AVE.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","59,000.00"
"CITY HALL CIVIC CENTER","S OSMENA JR. AVE.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","55,000.00"
"CITY HALL CIVIC CENTER","2ND AVENUE","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","PORT CENTER AVE (10TH)","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","10TH ST (6TH ST)","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","SAN JOSE DELA MONTANA","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","57,500.00"
"CITY HALL CIVIC CENTER","LUDO MEM. PARK","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","50,000.00"
"CITY HALL CIVIC CENTER","QUEEN CITY GARDENS","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","59,000.00"
"CITY HALL CIVIC CENTER","BANGKA ST","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"CITY HALL CIVIC CENTER","BARKO ST","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"HUMABON AVENUE (4TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"INDEPENDENCIA ST (3RD ST)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"KALIPAYAN ST (8TH ST)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"LAPU LAPU AVE (7TH AVE)","SUPERBLOCK/LEGASPI-OSMENA","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"LAPU LAPU AVE (7TH AVE)","MIXED BALINTAWAK-MAG","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","54,000.00"
"LAPU LAPU LOOP (6TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"PEPSI ST (8TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"PORT AREAS","QUEZON BLVD","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","163,500.00"
"PORT AREAS","QUEZON BLVD","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"PORT AREAS","ARELLANO BLVD (1ST AVE)","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"PORT AREAS","1ST AVE (6TH AVE)","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","53,000.00"
"PORT AREAS","OSMENA JR. AVE","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"PORT AREAS","T. PADILLA EXT","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"PORT CENTER AVE (5TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"PORT CENTER AVE (10TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"S. OSMENA JR AVE (2ND AVE)","SUPERBLOCK","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","61,500.00"
"S. OSMENA JR AVE (2ND AVE)","MIXED","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","57,500.00"
"SAN JOSE DELA MONTANA AVE","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","52,500.00"
"STP COURT (6TH AVE)","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","56,500.00"
"ALL OTHER STREETS","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","50,000.00"
"CIFC CONDO","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","122,500.00"
"PARKING SLOT","","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","70,000.00"
"GALLERIA RESIDENCES","GEN. MAXILOM AVE. EXT-S OSMENA JR BLVD.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","140,000.00"
"GALLERIA RESIDENCES","GEN. MAXILOM AVE. EXT-S OSMENA JR BLVD.","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","163,500.00"
"GALLERIA RESIDENCES","GEN. MAXILOM AVE. EXT-S OSMENA JR BLVD.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL REGULAR","157,300.00"
"GALLERIA RESIDENCES","GEN. MAXILOM AVE. EXT-S OSMENA JR BLVD.","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","100,600.00"
"PARTHENON RESIDENCES","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","149,500.00"
"PARTHENON RESIDENCES","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","132,500.00"
"PARTHENON RESIDENCES","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","80,850.00"
"SAN MARINO","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","139,700.00"
"SAN MARINO","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","121,500.00"
"SAN MARINO","J. DE VEYRA ST.","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","70,000.00"
"SUN VIDA TOWER","JUAN LUNA AVENUE","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","157,300.00"
"SUN VIDA TOWER","JUAN LUNA AVENUE","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","135,000.00"
"SUN VIDA TOWER","JUAN LUNA AVENUE","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","82,500.00"
"ALL OTHER CONDOMINIUMS","","CEBU PORT AREA","CEBU","CEBU","COMMERCIAL CONDOMINIUM","121,500.00"
"ALL OTHER CONDOMINIUMS","","CEBU PORT AREA","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","117,500.00"
"ALL OTHER CONDOMINIUMS","","CEBU PORT AREA","CEBU","CEBU","PARKING SLOT","66,000.00"
"COLON ST","OSMENA - JAKOSALEM","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","102,500.00"
"D JAKOSALEM ST.","LEGASPI - OSMENA BLVD.","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"D JAKOSALEM ST.","COLON - LEGASPI ST.","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"LEGASPI ST","COLON V GULLAS","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL CONDOMINIUM","124,000.00"
"LEGASPI ST","COLON V GULLAS","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"LEGASPI ST","V GULLAS-JAKOSALEM","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"LEGASPI ST","JAKOSALEM-P BURGOS","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"MABINI","V GULLAS-URDANETA","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"P BURGOS ST","URDANETA-OSMENA BLVD","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"P BURGOS ST","V GULLAS-URDANETA","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"P GOMES ST","JAKOSALEM-MABINI","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"PLARIDEL EXT","LEGASPI-P OSMENA BLVD","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"PRES OSMENA BLVD","JAKOSALEM-P BURGOS","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","102,500.00"
"PRES OSMENA BLVD","V GULLAS-JAKOSALEM","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","102,500.00"
"PRES OSMENA BLVD","COLON-V GULLAS","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","102,500.00"
"V GULLAS ST","LEGASPI-MABINI","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"V GULLAS ST","OSMEÑA BLVD-LEGASPI (MAGALLANES)","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","100,000.00"
"ALL OTHER STREETS","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL REGULAR","89,250.00"
"ALL OTHER STREETS","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","RESIDENTIAL REGULAR","28,125.00"
"CITY SAVINGS FINANCIAL PLAZA","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL CONDOMINIUM","124,000.00"
"PARKING SLOT","CITY SAVINGS FINANCIAL PLAZA","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","PARKING SLOT","209,000.00"
"PARKING SLOT","CITY SAVINGS FINANCIAL PLAZA","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","PARKING SLOT","53,750.00"
"ALL OTHER CONDOMINIUMS","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","COMMERCIAL CONDOMINIUM","142,625.00"
"ALL OTHER CONDOMINIUMS","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","134,750.00"
"ALL OTHER CONDOMINIUMS","","CENTRAL POB (STO. NIÑO PROPER)","CEBU","CEBU","PARKING SLOT","100,000.00"
"D JAKOSALEM ST","LANDON-GEN MAXILOM","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","67,500.00"
"R RAMOS ST","MAXILOM-VILLANUEVA","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","86,500.00"
"F RAMOS ST","VILLANUEVA-JAKOSALEM","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","75,500.00"
"GEN ECHAVEZ EXT","F RAMOS-JAKOSALEM ST","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","58,000.00"
"GEN MAXILOM AVE","J OSMENA-JAKOSALEM ST","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","95,800.00"
"GEN. JUNQUERA EXT","","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","83,000.00"
"RR LANDON ST","JUNQUERA-JAKOSALEM","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","80,000.00"
"V RANUDO ST","F RAMOS-JAKOSALEM","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","70,500.00"
"ALL OTHER STREETS","","COGON CENTRAL","CEBU","CEBU","COMMERCIAL REGULAR","45,500.00"
"HORIZONS 101","MANGO AVENUE","COGON CENTRAL","CEBU","CEBU","COMMERCIAL CONDOMINIUM","209,000.00"
"HORIZONS 101","MANGO AVENUE","COGON CENTRAL","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","180,000.00"
"HORIZONS 101","MANGO AVENUE","COGON CENTRAL","CEBU","CEBU","PARKING SLOT","114,500.00"
"ALL OTHER CONDOMINIUMS","","COGON CENTRAL","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","142,500.00"
"ALL OTHER CONDOMINIUMS","","COGON CENTRAL","CEBU","CEBU","COMMERCIAL CONDOMINIUM","134,500.00"
"ALL OTHER CONDOMINIUMS","","COGON CENTRAL","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","119,000.00"
"ALL OTHER CONDOMINIUMS","","COGON CENTRAL","CEBU","CEBU","PARKING SLOT","76,000.00"
"BONIFACIO ST","JAKOSALEM-SIKATUNA","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"D JAKOSALEM","F RAMOS-PDEL ROSARIO","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"D JAKOSALEM","P DEL ROSARIO-BONIFACIO","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"IMUS ST","JAKOSALEM-BRGY. T. PADILLA BDR","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","76,000.00"
"SIKATUNA","BONIFACIO-ZAPATERA BDY (T PADILLA","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"T. PADILLA ST","SIKATUNA ST-BRGY T. PADILLA BDR","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","77,000.00"
"ALL OTHER STREETS","","DAY-AS","CEBU","CEBU","COMMERCIAL REGULAR","68,000.00"
"INTERIOR AREAS","","DAY-AS","CEBU","CEBU","RESIDENTIAL REGULAR","29,000.00"
"BLOQ RESIDENCES","SIKATUNA","DAY-AS","CEBU","CEBU","COMMERCIAL CONDOMINIUM","140,000.00"
"BLOQ RESIDENCES","SIKATUNA","DAY-AS","CEBU","CEBU","RESIDENTIAL CONDOMINIUM","120,500.00"
"BLOQ RESIDENCES","SIKATUNA","DAY-AS","CEBU","CEBU","PARKING SLOT","75,000.00"
"VISTANA PEARL RESIDENCES","","DAY-AS","CEBU","CEBU","COMMERCIAL CONDOMINIUM","142,500.00"
